job_id,logic,name,acronym,cvc5_count,cvc5_results,cvc5_mean,cvc5_min,cvc5_q1,cvc5_median,cvc5_q3,cvc5_max,elaboration_count,elaboration_results,elaboration_mean,elaboration_min,elaboration_q1,elaboration_median,elaboration_q3,elaboration_max,translate_small_count,translate_small_results,translate_small_mean,translate_small_min,translate_small_q1,translate_small_median,translate_small_q3,translate_small_max,translate_large_count,translate_large_results,translate_large_mean,translate_large_min,translate_large_q1,translate_large_median,translate_large_q3,translate_large_max,lambdapi_small_check_count,lambdapi_small_check_results,lambdapi_small_check_mean,lambdapi_small_check_min,lambdapi_small_check_q1,lambdapi_small_check_median,lambdapi_small_check_q3,lambdapi_small_check_max,lambdapi_large_check_count,lambdapi_large_check_results,lambdapi_large_check_mean,lambdapi_large_check_min,lambdapi_large_check_q1,lambdapi_large_check_median,lambdapi_large_check_q3,lambdapi_large_check_max,weighted_mean_time,min_lp,q1_lp,median_lp,q3_lp,max_lp
39e2ff19-b452-4d17-84c3-ee120d684896,LIA,Svcomp2019,SVC,27,27 - 0 - 0,0.084,0.041,0.053,0.072,0.088,0.19,27,27 - 0 - 0,0.096,0.026,0.044,0.072,0.105,0.296,13,0 - 13 - 0,0.03,0.018,0.022,0.031,0.034,0.048,14,0 - 14 - 0,0.094,0.047,0.052,0.066,0.116,0.206,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7c592d58-131b-4f86-ad91-c897a26ece6b,LIA,UltimateAutomizer,ULT,153,153 - 0 - 0,0.037,0.019,0.024,0.036,0.047,0.111,153,146 - 7 - 0,0.025,0.007,0.009,0.022,0.033,0.179,141,90 - 51 - 0,0.03,0.008,0.014,0.019,0.028,0.113,5,0 - 5 - 0,0.089,0.052,0.053,0.107,0.116,0.119,90,69 - 21 - 0,2.489,0.202,1.787,2.425,2.863,13.777,0,0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,130.0,177.0,187.0,256.0,1044.0
300f843a-98db-4048-b9e9-da76dd19f6dd,LIA,psyco,PSY,50,49 - 0 - 1,1.012,0.036,0.08,0.197,0.716,13.244,50,49 - 1 - 0,2.5,0.019,0.078,0.326,1.488,38.014,12,12 - 0 - 0,0.151,0.062,0.092,0.138,0.222,0.257,37,36 - 0 - 1,10.651,0.31,0.785,3.125,13.459,60.016,12,0 - 12 - 0,1.069,0.329,0.382,0.665,0.949,5.842,36,0 - 36 - 0,0.14,0.125,0.134,0.139,0.148,0.157,0.0,0.0,0.0,0.0,0.0,0.0
fea23f67-805a-433a-89e1-c65adec3bab6,LIA,tptp,TPT,36,36 - 0 - 0,0.024,0.017,0.019,0.021,0.026,0.049,36,0 - 36 - 0,0.007,0.004,0.006,0.007,0.008,0.011,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24fa6fe9-70ac-4762-9fc7-c3aa19072f24,QF\_LIA,20180326-Bromberger,BRO,175,100 - 0 - 75,0.134,0.026,0.044,0.066,0.127,7.3,100,100,0.056,0.007,0.023,0.038,0.065,0.327,80,15 - 65 - 0,0.034,0.01,0.022,0.029,0.042,0.093,20,0 - 20 - 0,0.121,0.075,0.088,0.095,0.149,0.235,15,1 - 14 - 0,1.592,0.254,0.345,0.834,1.468,7.095,0,0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,416.0,416.0,416.0,416.0,416.0
c8431aed-5b62-4d11-8ed8-5862daf15a69,QF\_LIA,20210219-Dartagnan,DAR,5,4 - 0 - 1,2.457,1.046,1.277,2.029,5.909,7.183,5,4 - 1 - 0,1.984,0.533,0.589,2.006,3.368,4.41,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1 - 0 - 3,4.165,16.659,16.659,16.659,16.659,16.659,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0 - 1 - 0,0.197,0.197,0.197,0.197,0.197,0.197,0.0,0.0,0.0,0.0,0.0,0.0
4c3c8ec0-45eb-45f6-8f2b-2f24c002fc26,QF\_LIA,20220307-SMPT,SMP,1568,1523 - 0 - 45,0.792,0.017,0.024,0.03,0.057,37.179,1548,1521 - 27 - 0,0.41,0.003,0.009,0.01,0.023,50.196,1404,1397 - 7 - 0,0.044,0.004,0.009,0.013,0.03,2.069,117,83 - 6 - 28,5.721,0.097,1.229,1.677,5.705,56.511,1398,606 - 790 - 2,0.962,0.162,0.204,0.364,1.552,46.161,104,2 - 90 - 12,4.206,0.098,1.346,2.688,4.212,50.192,135.0,6.0,109.0,112.0,117.0,3525.0
a515557c-ae1d-4280-bd62-11683a31a76b,QF\_LIA,20231117-c\_inference,CIN,17,3 - 0 - 14,0.738,3.31,3.31,3.751,5.483,5.483,5,3 - 2 - 0,0.876,0.014,0.017,0.483,1.931,2.193,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,3 - 0 - 0,20.254,3.703,3.703,24.181,32.878,32.878,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0 - 2 - 1,15.448,20.411,19.03,23.172,27.315,25.934,0.0,0.0,0.0,0.0,0.0,0.0
f430f0eb-9220-4ab4-a11b-2c932f51bf96,QF\_LIA,Averest,AVE,10,8 - 0 - 2,7.638,2.003,4.117,7.928,10.493,29.701,10,7 - 1 - 2,16.129,5.428,11.203,23.417,27.02,32.438,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,0 - 0 - 7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233e076a-61a0-4778-8ff8-19a5e509f931,QF\_LIA,CAV\_2009\_benchmarks,CAV,85,85 - 0 - 0,0.219,0.018,0.039,0.056,0.108,10.618,85,85 - 0 - 0,0.183,0.007,0.019,0.033,0.067,10.07,78,16 - 62 - 0,0.038,0.008,0.023,0.029,0.051,0.091,7,0 - 7 - 0,1.072,0.088,0.092,0.332,0.519,5.849,16,2 - 14 - 0,0.613,0.276,0.294,0.442,0.869,1.613,0,0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,110.0,108.0,113.0,119.0,117.0
