name,mean,min,q1,median,q3,max,acronym
20170428-Barrett,0.054,0.005,0.016,0.02,0.026,8.064,BAR
20190906-CLEARSY,0.016,0.007,0.009,0.015,0.019,0.036,CLE
grasshopper,0.059,0.007,0.014,0.023,0.045,2.921,GRA
misc,0.021,0.007,0.012,0.018,0.026,0.069,MSC
sledgehammer,0.139,0.003,0.019,0.028,0.045,59.134,SLH
20170829-Rodin,0.008,0.005,0.007,0.009,0.009,0.013,ROD
2018-Goel-hwbench,0.623,0.004,0.009,0.013,0.047,19.106,GOE
20190906-CLEARSY,0.025,0.006,0.006,0.009,0.032,0.111,CLE
NEQ,5.95,0.016,0.369,2.229,8.539,38.407,NEQ
PEQ,7.229,0.015,0.123,2.049,10.34,48.223,PEQ
QG-classification,3.14,0.009,0.638,1.315,4.098,45.943,QGC
SEQ,5.649,0.009,0.046,0.476,2.681,49.033,SEQ
TypeSafe,0.008,0.006,0.006,0.008,0.01,0.01,TYP
eq\_diamond,0.282,0.007,0.03,0.062,0.17,2.338,EQD
Svcomp2019,0.096,0.026,0.044,0.072,0.105,0.296,SVC
UltimateAutomizer,0.025,0.007,0.009,0.022,0.033,0.179,ULT
psyco,2.5,0.019,0.078,0.326,1.488,38.014,PSY
tptp,0.007,0.004,0.006,0.007,0.008,0.011,TPT
RicartAgrawala,2.663,2.663,2.663,2.663,2.663,2.663,RIC
boogie,1.453,0.006,0.041,0.76,1.434,48.967,BOG
grasshopper,0.08,0.006,0.017,0.028,0.066,2.317,GRA
misc,4.957,0.021,0.021,1.057,13.792,13.792,MSC
psyco,0.006,0.006,0.006,0.006,0.006,0.006,PSY
sexpr,2.287,0.022,0.281,2.332,3.261,6.098,SXP
simplify,0.36,0.019,0.121,0.205,0.428,9.124,SIM
simplify2,0.512,0.008,0.039,0.092,0.381,59.224,SI2
sledgehammer,0.086,0.004,0.016,0.025,0.047,4.083,SLH
spec\_sharp,0.279,0.013,0.013,0.05,0.773,0.773,SPS
tokeneer,0.019,0.004,0.011,0.013,0.016,0.678,TOK
tptp,0.007,0.005,0.006,0.008,0.009,0.01,TPT
20180326-Bromberger,0.056,0.007,0.023,0.038,0.065,0.327,BRO
20210219-Dartagnan,1.984,0.533,0.589,2.006,3.368,4.41,DAR
20220307-SMPT,0.41,0.003,0.009,0.01,0.023,50.196,SMP
20231117-c\_inference,0.876,0.014,0.017,0.483,1.931,2.193,CIN
Averest,16.129,5.428,11.203,23.417,27.02,32.438,AVE
CAV\_2009\_benchmarks,0.183,0.007,0.019,0.033,0.067,10.07,CAV
CIRC,9.194,0.008,0.012,0.71,9.008,53.243,CIR
bofill-scheduling,0.821,0.072,0.516,0.702,0.73,43.578,BOF
calypto,2.956,0.009,0.013,0.832,8.928,8.989,CAL
check,0.017,0.007,0.007,0.008,0.037,0.046,CHK
convert,3.821,0.023,0.585,3.786,3.893,51.337,CON
cut\_lemmas,3.158,0.006,0.039,0.555,5.094,18.641,CUT
dillig,3.339,0.184,0.184,0.45,9.383,9.383,DIL
fft,17.557,0.026,0.026,17.557,35.087,35.087,FFT
mathsat,5.846,0.019,0.208,1.314,9.175,30.307,MAT
nec-smt,0.223,0.013,0.065,0.213,0.324,0.934,NEC
pb2010,0.354,0.069,0.224,0.311,0.407,0.926,PB2
pidgeons,0.018,0.007,0.01,0.018,0.027,0.033,PID
prime-cone,0.859,0.041,0.147,0.656,1.419,2.487,PRI
rings,6.346,0.006,0.039,0.11,1.591,43.532,RNG
rings\_preprocessed,5.965,0.006,0.07,0.148,1.154,28.672,RNP
slacks,0.0,0.0,0.0,0.0,0.0,0.0,SLA
tightrhombus,1.815,0.055,0.055,0.433,4.933,5.006,TIG
wisa,1.494,0.052,0.052,1.494,2.936,2.936,WIS
