name,mean,min,q1,median,q3,max,acronym
20170428-Barrett,0.22,0.023,0.066,0.085,0.109,23.991,BAR
20190906-CLEARSY,0.034,0.019,0.026,0.032,0.045,0.052,CLE
grasshopper,0.516,0.02,0.039,0.053,0.118,22.157,GRA
misc,0.036,0.026,0.03,0.036,0.04,0.049,MSC
sledgehammer,0.378,0.021,0.065,0.117,0.207,28.194,SLH
20170829-Rodin,0.024,0.018,0.02,0.023,0.029,0.033,ROD
2018-Goel-hwbench,1.275,0.017,0.024,0.035,0.131,25.676,GOE
20190906-CLEARSY,0.088,0.025,0.028,0.031,0.108,0.415,CLE
NEQ,2.971,0.171,0.519,1.584,5.068,26.141,NEQ
PEQ,2.984,0.139,0.76,2.419,8.001,27.45,PEQ
QG-classification,2.074,0.026,0.437,0.886,2.885,30.625,QGC
SEQ,3.091,0.035,0.118,0.639,2.616,27.415,SEQ
TypeSafe,0.025,0.021,0.021,0.026,0.029,0.029,TYP
eq\_diamond,0.155,0.019,0.042,0.072,0.147,0.892,EQD
Svcomp2019,0.084,0.041,0.053,0.072,0.088,0.19,SVC
UltimateAutomizer,0.037,0.019,0.024,0.036,0.047,0.111,ULT
psyco,1.012,0.036,0.08,0.197,0.716,13.244,PSY
tptp,0.024,0.017,0.019,0.021,0.026,0.049,TPT
RicartAgrawala,0.986,0.986,0.986,0.986,0.986,0.986,RIC
boogie,1.05,0.022,0.134,0.57,1.135,21.34,BOG
grasshopper,0.712,0.025,0.051,0.075,0.277,26.588,GRA
misc,2.562,0.032,0.032,0.45,7.203,7.203,MSC
psyco,0.025,0.023,0.022,0.025,0.028,0.027,PSY
sexpr,4.44,0.118,3.469,7.057,13.303,23.456,SXP
simplify,0.839,0.053,0.184,0.455,0.828,28.313,SIM
simplify2,0.876,0.024,0.104,0.243,0.733,30.367,SI2
sledgehammer,0.489,0.018,0.052,0.107,0.203,30.36,SLH
spec\_sharp,0.201,0.037,0.037,0.065,0.5,0.5,SPS
tokeneer,0.035,0.019,0.026,0.03,0.037,0.361,TOK
tptp,0.083,0.023,0.026,0.032,0.074,0.414,TPT
20180326-Bromberger,0.134,0.026,0.044,0.066,0.127,7.3,BRO
20210219-Dartagnan,2.457,1.046,1.277,2.029,5.909,7.183,DAR
20220307-SMPT,0.792,0.017,0.024,0.03,0.057,37.179,SMP
20231117-c\_inference,0.738,3.31,3.31,3.751,5.483,5.483,CIN
Averest,7.638,2.003,4.117,7.928,10.493,29.701,AVE
CAV\_2009\_benchmarks,0.219,0.018,0.039,0.056,0.108,10.618,CAV
CIRC,1.814,0.164,0.291,2.197,14.772,31.013,CIR
bofill-scheduling,0.997,0.369,0.758,0.786,0.818,22.552,BOF
calypto,1.081,0.404,0.404,3.187,3.211,3.232,CAL
check,0.038,0.029,0.029,0.03,0.054,0.062,CHK
convert,1.342,0.035,0.266,1.247,1.367,18.263,CON
cut\_lemmas,2.872,0.025,0.063,0.536,5.154,30.08,CUT
dillig,3.365,0.197,0.197,0.5,9.398,9.398,DIL
fft,3.676,14.703,14.703,14.703,14.703,14.703,FFT
mathsat,5.569,0.052,0.947,3.651,11.192,30.53,MAT
nec-smt,0.0,0.0,0.0,0.0,0.0,0.0,NEC
pb2010,1.799,0.454,2.022,2.896,3.822,9.197,PB2
pidgeons,0.056,0.024,0.029,0.05,0.079,0.118,PID
prime-cone,0.536,0.056,0.148,0.45,0.876,1.358,PRI
rings,1.158,0.037,0.072,0.111,1.143,25.587,RNG
rings\_preprocessed,1.257,0.039,0.072,0.113,0.776,18.657,RNP
slacks,0.0,0.0,0.0,0.0,0.0,0.0,SLA
tightrhombus,0.535,0.062,0.069,0.443,5.37,5.4,TIG
wisa,1.071,2.143,2.143,2.143,2.143,2.143,WIS
























































