name,mean,min,q1,median,q3,max,acronym
20170428-Barrett,0.037,0.007,0.017,0.023,0.033,0.447,BAR
20190906-CLEARSY,0.033,0.021,0.022,0.03,0.038,0.065,CLE
grasshopper,0.068,0.008,0.023,0.039,0.083,0.341,GRA
misc,0.061,0.006,0.016,0.03,0.049,0.409,MSC
sledgehammer,0.086,0.008,0.023,0.042,0.105,0.615,SLH
20170829-Rodin,0.009,0.005,0.006,0.009,0.011,0.013,ROD
2018-Goel-hwbench,0.041,0.006,0.011,0.016,0.049,0.341,GOE
20190906-CLEARSY,0.085,0.006,0.009,0.009,0.054,0.669,CLE
NEQ,2.455,2.228,2.228,2.324,2.813,2.813,NEQ
QG-classification,0.348,0.01,0.208,0.367,0.486,0.618,QGC
SEQ,1.368,0.14,0.189,0.23,2.274,5.934,SEQ
TypeSafe,0.008,0.007,0.007,0.008,0.009,0.009,TYP
eq\_diamond,0.275,0.006,0.073,0.226,0.398,0.814,EQD
Svcomp2019,0.03,0.018,0.022,0.031,0.034,0.048,SVC
UltimateAutomizer,0.03,0.008,0.014,0.019,0.028,0.113,ULT
psyco,0.151,0.062,0.092,0.138,0.222,0.257,PSY
boogie,0.17,0.007,0.04,0.09,0.26,0.917,BOG
grasshopper,0.075,0.011,0.027,0.052,0.093,0.362,GRA
misc,0.024,0.024,0.024,0.024,0.024,0.024,MSC
sexpr,0.276,0.276,0.276,0.276,0.276,0.276,SXP
simplify,0.192,0.023,0.119,0.199,0.247,0.438,SIM
simplify2,0.116,0.008,0.021,0.076,0.203,0.378,SI2
sledgehammer,0.082,0.007,0.019,0.034,0.086,0.717,SLH
spec\_sharp,0.17,0.046,0.046,0.17,0.294,0.294,SPS
tokeneer,0.021,0.006,0.013,0.016,0.021,0.272,TOK
20180326-Bromberger,0.034,0.01,0.022,0.029,0.042,0.093,BRO
20220307-SMPT,0.044,0.004,0.009,0.013,0.03,2.069,SMP
CAV\_2009\_benchmarks,0.038,0.008,0.023,0.029,0.051,0.091,CAV
bofill-scheduling,1.964,1.824,1.831,1.848,2.144,2.267,BOF
check,0.015,0.008,0.008,0.008,0.03,0.038,CHK
convert,0.157,0.157,0.157,0.157,0.157,0.157,CON
cut\_lemmas,0.039,0.013,0.021,0.034,0.052,0.118,CUT
pb2010,0.256,0.05,0.156,0.232,0.31,0.548,PB2
pidgeons,0.047,0.01,0.02,0.035,0.072,0.108,PID
prime-cone,0.046,0.033,0.034,0.046,0.059,0.06,PRI
rings,0.427,0.121,0.165,0.376,0.739,0.836,RNG
rings\_preprocessed,0.5,0.133,0.213,0.549,0.913,0.98,RNP
tightrhombus,0.034,0.032,0.031,0.034,0.037,0.036,TIG
