job_id,benchmark_type,name,cvc5_count,cvc5_results,cvc5_mean,cvc5_min,cvc5_q1,cvc5_median,cvc5_q3,cvc5_max,elaboration_count,elaboration_results,elaboration_mean,elaboration_min,elaboration_q1,elaboration_median,elaboration_q3,elaboration_max,translate_small_count,translate_small_results,translate_small_mean,translate_small_min,translate_small_q1,translate_small_median,translate_small_q3,translate_small_max,translate_large_count,translate_large_results,translate_large_mean,translate_large_min,translate_large_q1,translate_large_median,translate_large_q3,translate_large_max,lambdapi_small_check_count,lambdapi_small_check_results,lambdapi_large_check_count,lambdapi_large_check_results,weighted_mean_time,min_lp,q1_lp,median_lp,q3_lp,max_lp
d30ecf5c-785f-42cc-aef6-794d59e5f9dd,LIA,UltimateAutomizer,153,153 - 0 - 0,36.0,2,23,36.0,46.0,109.0,153,146 - 7 - 0,26.0,6,1,2,34.0,175.0,141,90 - 51 - 0,29.0,9.0,14.0,19.0,29.0,111.0,5,0 - 5 - 0,89,51,53.0,103.0,118.0,121.0,90,71 - 19 - 0,0,0 - 0 - 0,238,128,176,188,268,1049
3326d4a4-e964-494f-8160-348202a12330,UFLIA,grasshopper,382,330 - 0 - 52,712.0,25,51,75.0,277.0,27.0,330,325 - 5 - 0,8.0,6,17,28,66.0,2.0,247,247 - 0 - 0,75.0,11.0,27.0,52.0,93.0,362.0,78,78 - 0 - 0,2,276,507.0,922.0,2.0,27.0,247,14 - 233 - 0,78,0 - 60 - 18,173,115,135,166,212,243
781a83c0-0b86-4bda-802b-7867ad542d18,UFLIA,misc,3,3 - 0 - 0,3.0,32,32,0.45,7.0,7.0,3,2 - 1 - 0,5.0,21,21,1,14.0,14.0,1,1 - 0 - 0,24.0,24.0,24.0,24.0,24.0,24.0,1,1 - 0 - 0,15,15,15.0,15.0,15.0,15.0,1,1 - 0 - 0,1,0 - 1 - 0,496,496,496,496,496,496
44a4ddcf-268e-46ad-9fbf-e5c60c29ca98,UFLIA,simplify,831,797 - 0 - 34,839.0,53,184,455.0,828.0,28.0,797,797 - 0 - 0,0.36,19,121,205,428.0,9.0,116,116 - 0 - 0,192.0,23.0,119.0,199.0,247.0,438.0,681,662 - 0 - 19,10,424,3.0,6.0,11.0,60.75,116,103 - 7 - 6,486,0 - 486 - 0,1491,231,999,1355,1675,4466
cafba2b6-d2bf-47cf-8823-b020eccfb235,UFLIA,sledgehammer,1521,1351 - 0 - 170,489.0,18,52,107.0,203.0,30.36,1352,1279 - 72 - 1,86.0,4,16,25,47.0,4.0,1133,1081 - 52 - 0,82.0,7.0,19.0,34.0,86.0,717.0,146,121 - 21 - 4,4,93,757.0,2.0,4.0,56.7,1081,897 - 170 - 14,121,27 - 63 - 31,665,114,216,348,641,21301
cd01c894-d137-4d20-afa5-7109b8ca673e,UFLIA,boogie,877,874 - 0 - 3,1.0,22,137,573.0,1.0,22.0,874,853 - 21 - 0,1.0,6,42,766,1.0,49.0,239,239 - 0 - 0,171.0,7.0,42.0,88.0,269.0,918.0,614,389 - 3 - 222,17,687,7.0,30.0,40.0,60.0,239,0 - 239 - 0,406,3 - 403 - 0,7,7,7,7,8,8
8671a2e1-64b2-405a-b249-615b1208bb77,QF\_LIA,convert,39,39 - 0 - 0,1.0,35,266,1.0,1.0,18.0,39,39 - 0 - 0,4.0,23,585,4,4.0,51.0,1,1 - 0 - 0,157.0,157.0,157.0,157.0,157.0,157.0,38,15 - 0 - 23,19,42,45.0,50.0,53.0,57.0,1,1 - 0 - 0,15,0 - 6 - 9,539,539,539,539,539,539
77ba3605-878f-4fb6-92ac-9fe1cd9bf8fe,QF\_LIA,mathsat,100,81 - 0 - 19,6.0,52,947,4.0,11.0,30.53,93,59 - 34 - 0,6.0,19,208,1,9.0,30.0,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,59,10 - 0 - 49,3,906,6.0,16.0,31.0,58.0,0,0 - 0 - 0,10,3 - 4 - 3,12539,6097,6097,11520,19999,19999
a8575ae8-a468-42e1-9ed8-6cdceff18d22,QF\_LIA,pb2010,40,22 - 0 - 18,2.0,454,2,3.0,4.0,9.0,22,22 - 0 - 0,354.0,69,224,311,407.0,926.0,22,20 - 2 - 0,256.0,5.0,156.0,232.0,0.31,548.0,0,0 - 0 - 0,0,0,0.0,0.0,0.0,0.0,20,20 - 0 - 0,0,0 - 0 - 0,960,348,650,943,1252,1645
ebb2340b-cd73-4460-80e5-f98ed80ef8c8,QF\_LIA,pidgeons,19,19 - 0 - 0,56.0,24,29,5.0,79.0,118.0,19,19 - 0 - 0,18.0,7,1,18,27.0,33.0,19,19 - 0 - 0,47.0,1.0,2.0,35.0,72.0,108.0,0,0 - 0 - 0,0,0,0.0,0.0,0.0,0.0,19,6 - 0 - 13,0,0 - 0 - 0,1437,275,403,1071,2682,3272
