name,mean,min,q1,median,q3,max,acronym
UltimateAutomizer,238,128,176,188,268,1049,ULT
boogie,7,7,7,7,8,8,BOO
grasshopper,173,115,135,166,212,243,GRA
misc,496,496,496,496,496,496,MIS
simplify,1491,231,999,1355,1675,4466,SIM
sledgehammer,665,114,216,348,641,21301,SLE
convert,539,539,539,539,539,539,CON
mathsat,12539,6097,6097,11520,19999,19999,MAT
pb2010,960,348,650,943,1252,1645,PB
pidgeons,1437,275,403,1071,2682,3272,PID
20180326-Bromberger,1495,426,857,1379,1948,2900,BRO
20220307-SMPT,170,97,117,121,132,4339,SMP
CAV-2009,821,110,351,661,1382,1740,CAV
convert,543,543,543,543,543,543,CON
cut-lemmas,3021,3021,3021,3021,3021,3021,CUT
mathsat,12478,6205,6205,11471,19758,19758,MAT
pb2010,969,352,657,950,1262,1677,PB
20170428-Barrett,389,125,190,227,329,20323,BAR
grasshopper,225,102,114,143,302,837,GRA
sledgehammer,684,113,208,355,759,20511,SLE
20170829-Rodin,104,89,93,95,114,157,ROD
2018-Goel-hwbench,218,5,144,154,237,5959,GOE
QG-classification,3561,113,1249,2201,2738,45695,QGC
SEQ,3495,1865,2364,3982,4141,4153,SEQ
TypeSafe,96,93,93,97,98,98,TYP
eq-diamond,749,94,216,374,890,3544,EQD
