job_id,benchmark_type,benchmark_name,cvc5_count,cvc5_results,cvc5_mean,cvc5_min,cvc5_q1,cvc5_median,cvc5_q3,cvc5_max,elaboration_count,elaboration_results,elaboration_mean,elaboration_min,elaboration_q1,elaboration_median,elaboration_q3,elaboration_max,translate_small_count,translate_small_results,translate_small_mean,translate_small_min,translate_small_q1,translate_small_median,translate_small_q3,translate_small_max,translate_large_count,translate_large_results,translate_large_mean,translate_large_min,translate_large_q1,translate_large_median,translate_large_q3,translate_large_max,lambdapi_small_check_count,lambdapi_small_check_results,lambdapi_large_check_count,lambdapi_large_check_results,weighted_mean_time,min_lp,q1_lp,median_lp,q3_lp,max_lp
24fa6fe9-70ac-4762-9fc7-c3aa19072f24,QF_LIA,20180326-Bromberger,175,100 - 0 - 75,134,26.0,44.0,66.0,127.0,7.3,100,100 - 0 - 0,56.0,7.0,23.0,38.0,65.0,327.0,80,15 - 65 - 0,34.0,1.0,22.0,29.0,42.0,93.0,20,0 - 20 - 0,121.0,75,88,95.0,149,235,15,1 - 14 - 0,0,0 - 0 - 0,416,416,416,416,416,416
c8431aed-5b62-4d11-8ed8-5862daf15a69,QF_LIA,20210219-Dartagnan,5,4 - 0 - 1,2,1.0,1.0,2.0,6.0,7.0,5,4 - 1 - 0,2.0,533.0,589.0,2.0,3.0,4.41,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,4,1 - 0 - 3,4.0,17,17,17.0,17,17,0,0 - 0 - 0,1,0 - 1 - 0,0,0,0,0,0,0
4c3c8ec0-45eb-45f6-8f2b-2f24c002fc26,QF_LIA,20220307-SMPT,1568,1523 - 0 - 45,792,17.0,24.0,3.0,57.0,37.0,1548,1521 - 27 - 0,0.41,3.0,9.0,1.0,23.0,50.0,1404,1397 - 7 - 0,44.0,4.0,9.0,13.0,3.0,2.0,117,83 - 6 - 28,6.0,97,1,2.0,6,57,1398,606 - 790 - 2,104,2 - 90 - 12,135,6,109,112,117,3525
a515557c-ae1d-4280-bd62-11683a31a76b,QF_LIA,20231117-c_inference,17,3 - 0 - 14,738,3.31,3.31,4.0,5.0,5.0,5,3 - 2 - 0,876.0,14.0,17.0,483.0,2.0,2.0,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,3,3 - 0 - 0,20.0,4,4,24.0,33,33,0,0 - 0 - 0,3,0 - 2 - 1,0,0,0,0,0,0
f430f0eb-9220-4ab4-a11b-2c932f51bf96,QF_LIA,Averest,10,8 - 0 - 2,8,2.0,4.0,8.0,10.0,30.0,10,7 - 1 - 2,16.0,5.0,11.0,23.0,27.02,32.0,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,7,0 - 0 - 7,0.0,0,0,0.0,0,0,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
233e076a-61a0-4778-8ff8-19a5e509f931,QF_LIA,bofill-scheduling,85,85 - 0 - 0,219,18.0,39.0,56.0,108.0,11.0,85,85 - 0 - 0,183.0,7.0,19.0,33.0,67.0,107.0,78,16 - 62 - 0,38.0,8.0,23.0,29.0,51.0,91.0,7,0 - 7 - 0,1.0,88,92,332.0,519,6,16,2 - 14 - 0,0,0 - 0 - 0,113,110,108,113,119,117
594a6c70-0f4c-4d27-8829-7c33ad1f72b5,QF_LIA,calypto,33,8 - 0 - 25,2,164.0,291.0,2.0,15.0,31.0,12,8 - 4 - 0,9.0,8.0,12.0,0.71,9.0,53.0,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,8,0 - 8 - 0,8.0,167,468,2.82,17,30,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
2cfb9519-d24b-44b0-ad72-fdbbceaebbc9,QF_LIA,CAV_2009_benchmarks,245,245 - 0 - 0,997,369.0,758.0,786.0,818.0,23.0,245,245 - 0 - 0,821.0,72.0,516.0,702.0,0.73,44.0,11,11 - 0 - 0,2.0,2.0,2.0,2.0,2.0,2.0,234,233 - 0 - 1,20.0,3,12,24.0,26,53,11,0 - 5 - 6,233,0 - 24 - 209,0,0,0,0,0,0
463d557c-8f1a-4dc4-a1e1-8029f78604fd,QF_LIA,check,13,7 - 0 - 6,1,404.0,404.0,3.0,3.0,3.0,13,7 - 6 - 0,3.0,9.0,13.0,832.0,9.0,9.0,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,7,0 - 7 - 0,17.0,2,2,28.0,28,28,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
71e4e6e0-9a7a-472a-ba2a-6c97c23b426a,QF_LIA,check,4,4 - 0 - 0,38,29.0,29.0,3.0,54.0,62.0,4,4 - 0 - 0,17.0,7.0,7.0,8.0,37.0,46.0,4,0 - 4 - 0,15.0,8.0,8.0,8.0,3.0,38.0,0,0 - 0 - 0,0.0,0,0,0.0,0,0,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
8671a2e1-64b2-405a-b249-615b1208bb77,QF_LIA,CIRC,39,39 - 0 - 0,1,35.0,266.0,1.0,1.0,18.0,39,39 - 0 - 0,4.0,23.0,585.0,4.0,4.0,51.0,1,1 - 0 - 0,157.0,157.0,157.0,157.0,157.0,157.0,38,15 - 0 - 23,19.0,42,45,50.0,53,57,1,1 - 0 - 0,15,0 - 6 - 9,539,539,539,539,539,539
22ae1ae1-41b3-469b-ab4a-f275202d8689,QF_LIA,convert,93,68 - 0 - 25,3,25.0,63.0,536.0,5.0,308.0,71,68 - 3 - 0,3.0,6.0,39.0,555.0,5.0,19.0,24,4 - 20 - 0,39.0,13.0,21.0,34.0,52.0,118.0,44,0 - 44 - 0,3.06,8,419,2.0,5,11,4,0 - 4 - 0,0,0 - 0 - 0,0,0,0,0,0,0
11b47b38-5887-42a9-9152-2644f5764a3b,QF_LIA,convert,3,3 - 0 - 0,3,197.0,197.0,0.5,9.0,9.0,3,3 - 0 - 0,3.0,184.0,184.0,0.45,9.0,9.0,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,3,0 - 3 - 0,2.0,138,138,302.0,5,5,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
1f39ae4d-ab76-4fe6-9f09-f4d7f5ebcc84,QF_LIA,cut_lemmas,4,1 - 0 - 3,4,15.0,15.0,15.0,15.0,15.0,2,1 - 1 - 0,18.0,26.0,-9.0,18.0,44.0,35.0,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,1,0 - 0 - 1,0.0,0,0,0.0,0,0,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
77ba3605-878f-4fb6-92ac-9fe1cd9bf8fe,QF_LIA,cut_lemmas,100,81 - 0 - 19,6,52.0,947.0,4.0,11.0,30.53,93,59 - 34 - 0,6.0,19.0,208.0,1.0,9.0,30.0,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,59,10 - 0 - 49,3.0,906,6,16.0,31,58,0,0 - 0 - 0,10,3 - 4 - 3,12539,6097,6097,11520,19999,19999
1764bd62-be4e-489c-8355-c353b3c9ed2a,QF_LIA,dillig,1524,0 - 0 - 1524,0,0.0,0.0,0.0,0.0,0.0,72,0 - 72 - 0,223.0,13.0,65.0,213.0,324.0,934.0,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0,0 - 0 - 0,0.0,0,0,0.0,0,0,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
a8575ae8-a468-42e1-9ed8-6cdceff18d22,QF_LIA,dillig,40,22 - 0 - 18,2,454.0,2.0,3.0,4.0,9.0,22,22 - 0 - 0,354.0,69.0,224.0,311.0,407.0,926.0,22,20 - 2 - 0,256.0,5.0,156.0,232.0,0.31,548.0,0,0 - 0 - 0,0.0,0,0,0.0,0,0,20,20 - 0 - 0,0,0 - 0 - 0,960,348,650,943,1252,1645
ebb2340b-cd73-4460-80e5-f98ed80ef8c8,QF_LIA,fft,19,19 - 0 - 0,56,24.0,29.0,5.0,79.0,118.0,19,19 - 0 - 0,18.0,7.0,1.0,18.0,27.0,33.0,19,19 - 0 - 0,47.0,1.0,2.0,35.0,72.0,108.0,0,0 - 0 - 0,0.0,0,0,0.0,0,0,19,6 - 0 - 13,0,0 - 0 - 0,1437,275,403,1071,2682,3272
59b39187-76df-4d12-9432-cc9a9ba71942,QF_LIA,fft,18,18 - 0 - 0,536,56.0,148.0,0.45,876.0,1.0,18,18 - 0 - 0,859.0,41.0,147.0,656.0,1.0,2.0,4,0 - 4 - 0,46.0,33.0,34.0,46.0,59.0,6.0,14,0 - 14 - 0,726.0,108,273,658.0,1,2,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
3d7f977a-0b39-49a7-93b5-49ad0bc08100,QF_LIA,mathsat,294,77 - 0 - 217,1,37.0,72.0,111.0,1.0,26.0,88,77 - 11 - 0,6.0,6.0,39.0,0.11,2.0,44.0,28,28 - 0 - 0,427.0,121.0,165.0,376.0,739.0,836.0,49,21 - 28 - 0,8.0,1,1,2.0,2,27,28,0 - 28 - 0,21,0 - 21 - 0,0,0,0,0,0,0
827caa0d-974e-4d5e-b385-72f873c590b4,QF_LIA,mathsat,294,90 - 0 - 204,1,39.0,72.0,113.0,776.0,19.0,94,90 - 4 - 0,6.0,6.0,7.0,148.0,1.0,29.0,29,29 - 0 - 0,0.5,133.0,213.0,549.0,913.0,0.98,61,26 - 35 - 0,6.0,629,2,3.0,14,16,29,0 - 29 - 0,26,0 - 26 - 0,0,0,0,0,0,0
095463db-db42-4d75-a364-615e801ebb84,QF_LIA,nec-smt,2,0 - 0 - 2,0,0.0,0.0,0.0,0.0,0.0,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0,0 - 0 - 0,0.0,0,0,0.0,0,0,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
f0123a48-51cd-417c-9586-52b90040741e,QF_LIA,pb2010,22,6 - 0 - 16,535,62.0,69.0,443.0,5.37,5.4,6,6 - 0 - 0,2.0,55.0,55.0,433.0,5.0,5.0,2,0 - 2 - 0,34.0,32.0,31.0,34.0,37.0,36.0,4,0 - 4 - 0,1.0,219,219,1.0,2,2,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
8618a8bf-1ea8-4a20-8d6d-2befdfc2d801,QF_LIA,pidgeons,2,1 - 0 - 1,1,2.0,2.0,2.0,2.0,2.0,2,1 - 1 - 0,1.0,52.0,-669.0,1.0,4.0,3.0,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,1,0 - 1 - 0,27.0,27,27,27.0,27,27,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
b0bfdb5e-2284-4f8a-8385-22465b531e35,QF_LIA,prime-cone,4,4 - 0 - 0,32,2.0,2.0,26.0,5.0,57.0,4,4 - 0 - 0,22.0,7.0,8.0,11.0,45.0,56.0,4,0 - 4 - 0,13.0,6.0,6.0,8.0,23.0,28.0,0,0 - 0 - 0,0.0,0,0,0.0,0,0,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
ac0c33cf-b116-4422-9438-c92bed515b06,QF_LIA,rings,39,39 - 0 - 0,1,35.0,264.0,1.0,1.0,18.0,39,39 - 0 - 0,4.0,26.0,581.0,4.0,3.9,51.43,1,1 - 0 - 0,0.16,0.16,0.16,0.16,0.16,0.16,38,15 - 0 - 23,19.0,43,45,49.0,52,57,1,1 - 0 - 0,15,0 - 0 - 15,543,543,543,543,543,543
