lt lw lq med  uq uw name
11 5  7 8.5 9.5 10 A
11 4  5 6.5 8.5 9.5 B
12 6  8 9.5 10.5 11 C
13 7  9 10.5 11.5 12 D
14 8 10 11.5 12.5 13 E
15 9 11 12.5 13.5 14 F
15 9 11 12.5 13.5 14 G
16 10 12 13.5 14.5 15 H
16 10 12 13.5 14.5 15 I
17 11 13 14.5 15.5 16 J
18 12 14 15.5 16.5 17 K
19 13 15 16.5 17.5 18 L
20 14 16 17.5 18.5 19 M
21 15 17 18.5 19.5 20 N
22 16 18 19.5 20.5 21 O
23 17 19 20.5 21.5 22 P
24 18 20 21.5 22.5 23 Q
25 19 21 22.5 23.5 24 R
26 20 22 23.5 24.5 25 S
27 21 23 24.5 25.5 26 T
28 22 24 25.5 26.5 27 U
29 23 25 26.5 27.5 28 V
30 24 26 27.5 28.5 29 W
31 25 27 28.5 29.5 30 X
5 26 28 29.5 30.5 31 Y
