job_id,benchmark_type,benchmark_name,cvc5_count,cvc5_results,cvc5_mean,cvc5_min,cvc5_q1,cvc5_median,cvc5_q3,cvc5_max,elaboration_count,elaboration_results,elaboration_mean,elaboration_min,elaboration_q1,elaboration_median,elaboration_q3,elaboration_max,translate_small_count,translate_small_results,translate_small_mean,translate_small_min,translate_small_q1,translate_small_median,translate_small_q3,translate_small_max,translate_large_count,translate_large_results,translate_large_mean,translate_large_min,translate_large_q1,translate_large_median,translate_large_q3,translate_large_max,lambdapi_small_check_count,lambdapi_small_check_results,lambdapi_large_check_count,lambdapi_large_check_results,weighted_mean_time,min_lp,q1_lp,median_lp,q3_lp,max_lp
cd01c894-d137-4d20-afa5-7109b8ca673e,UFLIA,boogie,877,874 - 0 - 3,1.0,22,137,573.0,1.0,22.0,874,853 - 21 - 0,1.0,6,42,766,1,49,239,239 - 0 - 0,171.0,7,42,88.0,269,918,614,389 - 3 - 222,17.0,687.0,7,30,40.0,60.0,239,0 - 239 - 0,406,3 - 403 - 0,7,7,7,7,8,8
d8c59019-7e58-4258-85f6-720f0e8fd229,UFLIA,check,1,1 - 0 - 0,88.0,88,88,88.0,88.0,88.0,1,0 - 1 - 0,51.0,51,51,51,51,51,0,0 - 0 - 0,0.0,0,0,0.0,0,0,0,0 - 0 - 0,0.0,0.0,0,0,0.0,0.0,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
3326d4a4-e964-494f-8160-348202a12330,UFLIA,grasshopper,382,330 - 0 - 52,712.0,25,51,75.0,277.0,27.0,330,325 - 5 - 0,8.0,6,17,28,66,2,247,247 - 0 - 0,75.0,11,27,52.0,93,362,78,78 - 0 - 0,2.0,276.0,507,922,2.0,27.0,247,14 - 233 - 0,78,0 - 60 - 18,173,115,135,166,212,243
781a83c0-0b86-4bda-802b-7867ad542d18,UFLIA,misc,3,3 - 0 - 0,3.0,32,32,0.45,7.0,7.0,3,2 - 1 - 0,5.0,21,21,1,14,14,1,1 - 0 - 0,24.0,24,24,24.0,24,24,1,1 - 0 - 0,15.0,15.0,15,15,15.0,15.0,1,1 - 0 - 0,1,0 - 1 - 0,496,496,496,496,496,496
ce0f6b8f-b5c8-45bd-bb5d-816a954c9e83,UFLIA,psyco,2,2 - 0 - 0,25.0,23,22,25.0,28.0,27.0,2,0 - 2 - 0,6.0,6,6,6,6,6,0,0 - 0 - 0,0.0,0,0,0.0,0,0,0,0 - 0 - 0,0.0,0.0,0,0,0.0,0.0,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
6c27c40a-0f49-4d83-a1ee-d48e4d0ce661,UFLIA,RicartAgrawala,1,1 - 0 - 0,963.0,963,963,963.0,963.0,963.0,1,1 - 0 - 0,3.0,3,3,3,3,3,0,0 - 0 - 0,0.0,0,0,0.0,0,0,1,1 - 0 - 0,36.0,36.0,36,36,36.0,36.0,0,0 - 0 - 0,1,0 - 1 - 0,0,0,0,0,0,0
85a5dcf5-73e3-4334-b1e7-2db941644f78,UFLIA,sexpr,32,17 - 0 - 15,4.44,118,3,7.0,13.0,23.0,21,17 - 4 - 0,2.0,22,281,2,3,6,1,1 - 0 - 0,276.0,276,276,276.0,276,276,16,3 - 12 - 1,17.0,4.0,8,11,27.88,52.0,1,0 - 1 - 0,3,0 - 3 - 0,0,0,0,0,0,0
44a4ddcf-268e-46ad-9fbf-e5c60c29ca98,UFLIA,simplify,831,797 - 0 - 34,839.0,53,184,455.0,828.0,28.0,797,797 - 0 - 0,0.36,19,121,205,428,9,116,116 - 0 - 0,192.0,23,119,199.0,247,438,681,662 - 0 - 19,10.0,424.0,3,6,11.0,60.75,116,103 - 7 - 6,486,0 - 486 - 0,1491,231,999,1355,1675,4466
a6b43d97-6fb8-4a3a-a0e7-cfa50445ccba,UFLIA,simplify2,2338,2326 - 0 - 12,876.0,24,104,243.0,733.0,30.0,2331,2325 - 5 - 1,512.0,8,39,92,381,59,1037,1037 - 0 - 0,116.0,8,21,76.0,203,378,1289,1142 - 1 - 146,12.0,319.0,3,7,22.0,60.0,1037,0 - 1037 - 0,901,0 - 901 - 0,0,0,0,0,0,0
cafba2b6-d2bf-47cf-8823-b020eccfb235,UFLIA,sledgehammer,1521,1351 - 0 - 170,489.0,18,52,107.0,203.0,30.36,1352,1279 - 72 - 1,86.0,4,16,25,47,4,1133,1081 - 52 - 0,82.0,7,19,34.0,86,717,146,121 - 21 - 4,4.0,93.0,757,2,4.0,56.7,1081,897 - 170 - 14,121,27 - 63 - 31,665,114,216,348,641,21301
d0355180-9d91-40c6-b9c6-d898a0678f0a,UFLIA,spec_sharp,3,3 - 0 - 0,201.0,37,37,65.0,0.5,0.5,3,3 - 0 - 0,279.0,13,13,5,773,773,2,2 - 0 - 0,0.17,46,-16,0.17,356,294,1,1 - 0 - 0,26.0,26.0,26,26,26.0,26.0,2,0 - 2 - 0,1,0 - 1 - 0,0,0,0,0,0,0
